headline,url,publication_date,source,summary,category,relevance_score
Microsoft's open source tools were hacked to steal passwords of AI developers,https://techcrunch.com/2026/06/08/microsofts-open-source-tools-were-hacked-to-steal-passwords-of-ai-developers/,,Hacker News,260 points by raffael_de 4 hours ago | hide | 102 comments,open source,0.3667
GentleOS – Classic operating system with a lovely retro GUI,https://github.com/luke8086/gentleos32,,Hacker News,131 points by tekkertje 2 hours ago | hide | 29 comments,python,0.2387
Making Graphics Like it's 1993,https://staniks.github.io/articles/catlantean-3d-blog-1/,,Hacker News,55 points by sklopec 1 hour ago | hide | 9 comments,data,0.2236
OpenCV 5 Is Here: The Biggest Leap in Years for Computer Vision,https://opencv.org/opencv-5/,,Hacker News,317 points by ternaus 9 hours ago | hide | 50 comments,open source,0.2453
Apple reveals new AI architecture built around Google Gemini models,https://www.macrumors.com/2026/06/08/apple-reveals-new-ai-architecture/,,Hacker News,628 points by unclefuzzy 17 hours ago | hide | 476 comments,artificial intelligence,0.335
Thi.ng – open-source building blocks for computational design and art,https://thi.ng,,Hacker News,69 points by nmstoker 6 hours ago | hide | 13 comments,open source,0.4506
Siri AI,https://www.apple.com/apple-intelligence/,,Hacker News,608 points by 0xedb 18 hours ago | hide | 582 comments,data,0.2301
Eagle Computer: The rise and fall of an early PC clone,https://dfarq.homeip.net/eagle-computer-the-rise-and-fall-of-an-early-pc-clone/,,Hacker News,17 points by giuliomagnifico 3 hours ago | hide | 2 comments,startup,0.2731
xAI is looking more like a datacentre REIT than a frontier lab,https://martinalderson.com/posts/xais-new-rental-business/,,Hacker News,589 points by martinald 21 hours ago | hide | 459 comments,data,0.3181
Show HN: Performative-UI – A react component library of design tropes,https://vorpus.github.io/performativeUI/,,Hacker News,1025 points by lizhang 22 hours ago | hide | 187 comments,technology,0.263
Softmax: Why neural networks need non-linearity? life isn't straight-line simple,https://blog.sparsh.dev/softmax-activation-function/,,Hacker News,4 points by sparshrestha 1 hour ago | hide | 1 comment,machine learning,0.2589
Old'aVista – The most powerful guide to the old Internet,https://oldavista.com/,,Hacker News,124 points by abnercoimbre 10 hours ago | hide | 28 comments,open source,0.3002
Porting the ThinkPad X61 to Coreboot,https://blog.aheymans.xyz/post/thinkpad_x61/,,Hacker News,94 points by walterbell 8 hours ago | hide | 38 comments,startup,0.2935
Apple Core AI Framework,https://developer.apple.com/documentation/coreai/,,Hacker News,316 points by hmokiguess 17 hours ago | hide | 83 comments,artificial intelligence,0.2742
"Show HN: Gitdot – A better GitHub. Open-source, written in Rust",https://gitdot.io/,,Hacker News,278 points by baepaul 16 hours ago | hide | 255 comments,open source,0.3267
Ask HN: What are tools you have made for yourself since the advent of AI?,https://news.ycombinator.com/item?id=48449187,,Hacker News,341 points by aryamaan 18 hours ago | hide | 554 comments,artificial intelligence,0.3341
FrontierCode,https://cognition.ai/blog/frontier-code,,Hacker News,216 points by streamer45 15 hours ago | hide | 38 comments,data,0.2295
Passing DBs through continuations,https://remy.wang/blog/cps.html,,Hacker News,62 points by remywang 10 hours ago | hide | 9 comments,data,0.2381
Why are cells small?,https://burrito.bio/essays/what-limits-a-cells-size,,Hacker News,156 points by mailyk 17 hours ago | hide | 69 comments,data,0.2867
Surveillance is not safety: A statement on the UK's latest threat to privacy [pdf],https://signal.org/blog/pdfs/2026-06-08-uk-surveillance-is-not-safety.pdf,,Hacker News,612 points by g0xA52A2A 16 hours ago | hide | 266 comments,security,0.4522
AI is slowing down,https://www.wheresyoured.at/ai-is-slowing-down/,,Hacker News,587 points by crescit_eundo 20 hours ago | hide | 632 comments,artificial intelligence,0.362
Apple bets cheaper AI will woo small developers,https://techcrunch.com/2026/06/08/apple-bets-cheaper-ai-will-woo-small-developers/,,Hacker News,72 points by jbernardo95 15 hours ago | hide | 32 comments,artificial intelligence,0.2641
Cleaning up after AI rockstar developers,https://www.codingwithjesse.com/blog/rockstar-developers/,,Hacker News,9 points by BrunoBernardino 3 hours ago | hide | discuss,artificial intelligence,0.2986
OCaml Onboarding: Introduction to the Dune build system,https://ocamlpro.com/blog/2025_07_29_ocaml_onboarding_introduction_to_dune/,,Hacker News,161 points by andrewstetsenko 21 hours ago | hide | 29 comments,open source,0.2039
Job: Head of Stonehenge,https://www.english-heritage.org.uk/about/our-people/careers-with-us/job-search/default-job-page/?jobRef=16449,,Hacker News,168 points by mooreds 9 hours ago | hide | 138 comments,artificial intelligence,0.2219
Are you expected to run five Python type-checkers now?,https://pyrefly.org/blog/too-many-type-checkers/,,Hacker News,158 points by ocamoss 1 day ago | hide | 174 comments,python,0.4462
Confidential submission of draft S-1 to the SEC,https://openai.com/index/openai-submits-confidential-s-1/,,Hacker News,344 points by hackerBanana 15 hours ago | hide | 287 comments,security,0.375
Massachusetts bans sale of precise location data in new privacy rights bill,https://techcrunch.com/2026/06/08/massachusetts-votes-to-pass-new-privacy-rights-bill-that-bans-sale-of-precise-location-data/,,Hacker News,339 points by 01-_- 19 hours ago | hide | 50 comments,data,0.2977
Games Between Programs: The Ruliology of Competition,https://writings.stephenwolfram.com/2026/06/games-between-programs-the-ruliology-of-competition/,,Hacker News,30 points by andromaton 13 hours ago | hide | 4 comments,artificial intelligence,0.2732
Fooling Go's X.509 Certificate Verification,https://danielmangum.com/posts/fooling-go-x509-certificate-verification/,,Hacker News,56 points by hasheddan 16 hours ago | hide | 27 comments,security,0.2443
Zig Structs of Arrays (2024),https://andreashohmann.com/zig-struct-of-arrays/,,Hacker News,123 points by Tomte 1 day ago | hide | 46 comments,data,0.2305
Doing something that’s never been done before (2025),https://talglobus.com/p/doing-something-thats-never-been-done-before/,,Hacker News,36 points by surprisetalk 15 hours ago | hide | 30 comments,technology,0.2754
Zig by Example,https://github.com/boringcollege/zig-by-example,,Hacker News,219 points by dariubs 23 hours ago | hide | 102 comments,data,0.2198
Spanish traders set the standard for GnuCash database design,https://handson.money/blog/2026-06-06-horse-arse-and-design/,,Hacker News,126 points by vitalikpie 23 hours ago | hide | 80 comments,data,0.2305
